gpstime,mass1,mass2,distance,snr-net,dist-rec,dist-std,area-90,searched-area
1000680840,1.3257831,1.1994503,174.57265,9.69750719688662,158.0209279366801,48.42907399479061,5178.600534236071,3671.0704041530926
1000682529,1.2395717,1.279864,90.772954,15.55271960102974,104.4187889891486,25.79479732572774,1666.405047440145,1826.302971979247
1000663589,1.4167128,1.3052262,91.399128,14.24748710340303,118.3162280267374,31.28407806804334,2066.9614540214184,54.396719380249465
1000662959,1.4065866,1.4254581,43.359279,26.99657919415084,56.03329316568633,11.40960135800238,369.7392636043193,522.0406473212822
1000671569,1.496683,1.3603792,145.01289,11.820319205518,149.8217687695757,41.32323862668523,1584.5401526548367,2310.5754052659936
1000664489,1.377286,1.495806,252.73024,10.19150389550354,202.2106500539142,55.36657920681879,4463.739906234384,232.4843397234989
1000663809,1.3322108,1.4031252,157.76829,14.39973346011572,129.2253160643961,31.07935271843863,2261.873865730842,484.0101540227059
1000657150,1.3612591,1.3280817,141.42595,8.998765915289846,217.0162311932417,64.94854246071547,6059.26526153826,3761.714117836106
1000669809,1.3269689,1.5263459,202.16432,8.931436217498206,209.6051512867549,65.82528777835378,4240.581272498674,27.486866880665552
1000689239,1.2664416,1.343238,48.370941,14.3195511235464,86.57955809194485,23.51400842482602,957.3302982298853,490.9867824484642
1000660969,1.2643177,1.3133091,180.05293,10.90204894022649,144.0100608887444,41.3558005839373,3521.2600650240356,1161.3725815607804
1000660299,1.2999687,1.3840875,90.974952,14.73234380087042,80.48268633300441,19.24228699577344,239.91164021519245,313.6859998976401
1000668700,1.5143996,1.4301275,134.52705,12.56804046942759,122.5665127846794,36.39037327783879,1326.3950730633994,271.1443032560018
1000661550,1.3378184,1.5733171,235.7259,11.55323685886365,117.781525163605,34.83203380208121,930.9846848312469,4716.830286086564
1000666090,1.4001748,1.2112463,219.49728,9.256515100646828,209.2349433650461,61.18229941322069,5900.089907599838,1569.8987633672853
1000672820,1.3930868,1.5885026,129.88312,12.2002126443888,144.8486788336305,38.02913880957109,2111.278912826286,79.73289629506024
1000661859,1.6060017,1.2265443,187.06777,8.410239180399335,243.3524304413614,71.30110000259387,7019.251702955457,5791.126151956591
1000662920,1.3450492,1.1872703,187.45191,10.42486656959917,164.0035938429146,46.9959721983369,3377.766498740544,319.77087882543975
1000660590,1.4819271,1.2777205,97.292279,9.380504488676518,173.8516797012847,57.17726738435696,6039.277406630817,4998.832950877001
1000669970,1.5242826,1.4223271,251.15413,9.202098049305008,217.7369876372688,65.42461893428745,5479.377434747949,1350.0038283219678
1000662090,1.1786958,1.4834986,85.770047,16.39661486217102,77.32818984381497,22.59690614258819,1557.1757362700841,271.66886178426074
1000656970,1.336043,1.3000931,228.71261,8.78896594440552,227.0659640381919,66.1448839317686,6612.324005495303,469.5847944956461
1000668330,1.3978513,1.276775,114.52782,10.78276275032474,168.3660706660146,47.26329207601675,3572.420713336328,499.7993657231886
1000683289,1.2711749,1.2358907,118.99408,11.55169136294766,130.6004038989641,36.95344786522256,3068.8992650833343,33.78156921974951
1000660310,1.4277021,1.4369724,181.89891,10.48655156124003,185.3848041635983,53.66818702618241,5564.816439179241,316.41370424461076
1000674869,1.3635408,1.4103253,162.40884,9.486134978720752,173.4687543028098,58.73869015746924,4730.998633693844,5058.422799687081
1000658150,1.391067,1.4588506,112.54311,8.487794281268929,218.2146475296405,69.89712960473523,5158.68508224576,6022.771198034618
1000677940,1.2511334,1.359945,181.20696,10.52106589736571,165.332535674681,46.15270329270587,4170.017906303902,315.5744105994052
1000690890,1.336949,1.421225,64.026727,14.62709864711065,80.56836012571233,16.88088049405651,437.2755800388186,71.39241569576791
1000698900,1.3853506,1.3584469,125.33017,10.51993414713144,131.5408353167869,39.92338608041265,2075.103813626219,4.353835784532932
1000670670,1.3675176,1.3829115,291.69345,8.559495180371243,230.3445860377369,67.79359577561507,6179.42197257372,1879.8079418616567
1000669939,1.2848848,1.3450407,145.61694,13.08896098725196,138.8491088873446,34.56739209431232,2845.9592049733455,1272.5789895512494
1000659579,1.4338138,1.433049,72.293785,10.24367163178506,107.2481202651083,32.16398976106956,455.96081614670067,8.274910783253853
1000662600,1.381078,1.4737635,238.45324,9.607185566454358,211.2017992246816,58.52749882688646,5333.283562051701,563.7955061705823
1000675579,1.3003602,1.3800937,94.404742,12.90469724424464,120.2942916911089,32.61255065238408,1866.3536343202588,19.40866554550846
1000681010,1.4357425,1.3511249,94.473271,13.16387402209714,87.35547485231373,24.30285626004517,425.98906907472315,135.44101199593592
1000658109,1.3429299,1.2975239,71.551052,17.23207164501421,63.73590111887764,12.51018742560318,424.3047832547475,77.24124328583127
1000672370,1.3947547,1.2871838,154.11424,9.906692670152825,189.7254544855833,55.7769824184964,5804.652716660837,1298.597092552819
1000671260,1.2542938,1.4200554,148.90413,9.285834212168396,155.2681527485655,52.43414241087365,2789.2020713571387,96.62368090493769
1000679670,1.4485492,1.1772417,180.85496,8.779548472846495,202.8063900874608,64.02039667611184,7361.744175515007,8567.50953031464
1000672899,1.4033012,1.1831811,113.57061,9.788528754611589,137.2819997384107,51.08443865295267,2928.7385722337517,33.361922397143914
1000662540,1.2321199,1.2620931,111.9718,12.36004839508025,130.5309884741569,33.04489089227115,2203.263552211668,1055.6215822641761
1000665559,1.3624948,1.2493243,113.59196,8.934170273554965,159.20014781611,52.57682104054988,2667.396556851677,259.4466480758754
1000665929,1.2393749,1.371744,161.88139,12.27447255579533,148.2670422598514,37.89665538317608,3532.8088843281607,539.8756372820565
1000656609,1.2996548,1.4353031,225.11474,8.902868224369392,221.7342244872782,66.75713162447262,7769.56014323362,135.75574711290642
1000657900,1.2097967,1.3989148,166.1781,9.845412507247975,165.9098185402466,48.94543758942169,4397.268412383597,5438.6228209676465
1000692000,1.3608715,1.3309211,57.447047,15.31846871357036,115.9340625298707,27.30863769299317,2053.0393948566966,547.6391035002162
1000677899,1.3962711,1.5580271,228.75742,11.72387231691864,170.2831739721302,44.00916429507132,3867.779611060769,402.02165605615903
1000673619,1.2763534,1.3907142,100.0151,9.933177704168171,162.5929084685328,50.29975560589381,4379.708816927261,3018.9392418245984
1000663989,1.2540409,1.3089433,87.065456,8.897614498859552,202.9621216936501,63.19688075903456,6435.424617990978,1665.9978857439655
